2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Ethics-Advisory-Committee
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Fiduciary-Licensing-Program
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/azcjc
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Legal-Document-Preparer-Program
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Legal-Service-Innovations
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Legal-Paraprofessional
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Legal-Advocates
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/pdj
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Private-Process-Server
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Publications-Reports
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/newsandinfo/Press-Releases-News
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/newsandinfo/Media-Inquiries
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/annualreport
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/performancemeasures
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/statistics
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/legislativeupdate
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cld/Arizona-Lawyer-Apprentice-Program
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/awards/Distinguished-Service-Awards/Award-Recipients
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/efilinginformation/eFiling-Availability/LJ
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/cscommittees/Arizona-Commission-on-Access-to-Justice/ACAJ-Resources
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Portals/201/News%20Release%20-%20Court%20Adopts%20Spousal%20Maintenance%20Guidelines-Updated.pdf
2024-10-30 13:44:56 - root - INFO - Crawling on https://lp.constantcontactpages.com/su/T1DZVJh
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Portals/0/Recommended%20Remote%20and%20In-Person%20Hearings%20in%20Arizona%20State%20Courts%20in%20the%20Post-Pandemic%20World%20(2222022%20FINAL).pdf
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/newsandinfo/High-Profile-Case-Update
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/statistics/Interactive-Data-Dashboards
